case_id,prefix,k,next_act
173688,a_submitted,0,a_partlysubmitted
173688,a_submitted a_partlysubmitted,1,a_preaccepted
173688,a_submitted a_partlysubmitted a_preaccepted,2,a_accepted
173688,a_submitted a_partlysubmitted a_preaccepted a_accepted,3,a_finalized
173688,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized,4,a_registered
173688,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized a_registered,5,a_approved
173688,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized a_registered a_approved,6,a_activated
173691,a_submitted,0,a_partlysubmitted
173691,a_submitted a_partlysubmitted,1,a_preaccepted
173691,a_submitted a_partlysubmitted a_preaccepted,2,a_accepted
173691,a_submitted a_partlysubmitted a_preaccepted a_accepted,3,a_finalized
173691,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized,4,a_approved
173691,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized a_approved,5,a_registered
173691,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized a_approved a_registered,6,a_activated
173694,a_submitted,0,a_partlysubmitted
173694,a_submitted a_partlysubmitted,1,a_preaccepted
173694,a_submitted a_partlysubmitted a_preaccepted,2,a_accepted
173694,a_submitted a_partlysubmitted a_preaccepted a_accepted,3,a_finalized
173694,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized,4,a_approved
173694,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized a_approved,5,a_registered
173694,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized a_approved a_registered,6,a_activated
173697,a_submitted,0,a_partlysubmitted
173697,a_submitted a_partlysubmitted,1,a_declined
173700,a_submitted,0,a_partlysubmitted
173700,a_submitted a_partlysubmitted,1,a_declined
173703,a_submitted,0,a_partlysubmitted
173703,a_submitted a_partlysubmitted,1,a_preaccepted
173703,a_submitted a_partlysubmitted a_preaccepted,2,a_cancelled
173706,a_submitted,0,a_partlysubmitted
173706,a_submitted a_partlysubmitted,1,a_preaccepted
173706,a_submitted a_partlysubmitted a_preaccepted,2,a_declined
173709,a_submitted,0,a_partlysubmitted
173709,a_submitted a_partlysubmitted,1,a_preaccepted
173709,a_submitted a_partlysubmitted a_preaccepted,2,a_cancelled
173712,a_submitted,0,a_partlysubmitted
173712,a_submitted a_partlysubmitted,1,a_preaccepted
173712,a_submitted a_partlysubmitted a_preaccepted,2,a_cancelled
173715,a_submitted,0,a_partlysubmitted
173715,a_submitted a_partlysubmitted,1,a_preaccepted
173715,a_submitted a_partlysubmitted a_preaccepted,2,a_accepted
173715,a_submitted a_partlysubmitted a_preaccepted a_accepted,3,a_finalized
173715,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized,4,a_declined
173718,a_submitted,0,a_partlysubmitted
173718,a_submitted a_partlysubmitted,1,a_preaccepted
173718,a_submitted a_partlysubmitted a_preaccepted,2,a_accepted
173718,a_submitted a_partlysubmitted a_preaccepted a_accepted,3,a_finalized
173718,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized,4,a_approved
173718,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized a_approved,5,a_registered
173718,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized a_approved a_registered,6,a_activated
173721,a_submitted,0,a_partlysubmitted
173721,a_submitted a_partlysubmitted,1,a_preaccepted
173721,a_submitted a_partlysubmitted a_preaccepted,2,a_accepted
173721,a_submitted a_partlysubmitted a_preaccepted a_accepted,3,a_finalized
173721,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized,4,a_declined
173724,a_submitted,0,a_partlysubmitted
173724,a_submitted a_partlysubmitted,1,a_preaccepted
173724,a_submitted a_partlysubmitted a_preaccepted,2,a_declined
173727,a_submitted,0,a_partlysubmitted
173727,a_submitted a_partlysubmitted,1,a_declined
173730,a_submitted,0,a_partlysubmitted
173730,a_submitted a_partlysubmitted,1,a_preaccepted
173730,a_submitted a_partlysubmitted a_preaccepted,2,a_accepted
173730,a_submitted a_partlysubmitted a_preaccepted a_accepted,3,a_finalized
173730,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized,4,a_activated
173730,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized a_activated,5,a_registered
173730,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized a_activated a_registered,6,a_approved
173733,a_submitted,0,a_partlysubmitted
173733,a_submitted a_partlysubmitted,1,a_declined
173736,a_submitted,0,a_partlysubmitted
173736,a_submitted a_partlysubmitted,1,a_preaccepted
173736,a_submitted a_partlysubmitted a_preaccepted,2,a_accepted
173736,a_submitted a_partlysubmitted a_preaccepted a_accepted,3,a_finalized
173736,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized,4,a_approved
173736,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized a_approved,5,a_registered
173736,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized a_approved a_registered,6,a_activated
173739,a_submitted,0,a_partlysubmitted
173739,a_submitted a_partlysubmitted,1,a_preaccepted
173739,a_submitted a_partlysubmitted a_preaccepted,2,a_accepted
173739,a_submitted a_partlysubmitted a_preaccepted a_accepted,3,a_finalized
173739,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized,4,a_registered
173739,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized a_registered,5,a_approved
173739,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized a_registered a_approved,6,a_activated
173742,a_submitted,0,a_partlysubmitted
173742,a_submitted a_partlysubmitted,1,a_preaccepted
173742,a_submitted a_partlysubmitted a_preaccepted,2,a_declined
173745,a_submitted,0,a_partlysubmitted
173745,a_submitted a_partlysubmitted,1,a_preaccepted
173745,a_submitted a_partlysubmitted a_preaccepted,2,a_accepted
173745,a_submitted a_partlysubmitted a_preaccepted a_accepted,3,a_finalized
173745,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized,4,a_cancelled
173748,a_submitted,0,a_partlysubmitted
173748,a_submitted a_partlysubmitted,1,a_preaccepted
173748,a_submitted a_partlysubmitted a_preaccepted,2,a_accepted
173748,a_submitted a_partlysubmitted a_preaccepted a_accepted,3,a_finalized
173748,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized,4,a_declined
173751,a_submitted,0,a_partlysubmitted
173751,a_submitted a_partlysubmitted,1,a_preaccepted
173751,a_submitted a_partlysubmitted a_preaccepted,2,a_accepted
173751,a_submitted a_partlysubmitted a_preaccepted a_accepted,3,a_finalized
173751,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized,4,a_registered
173751,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized a_registered,5,a_activated
173751,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized a_registered a_activated,6,a_approved
173754,a_submitted,0,a_partlysubmitted
173754,a_submitted a_partlysubmitted,1,a_preaccepted
173754,a_submitted a_partlysubmitted a_preaccepted,2,a_declined
173757,a_submitted,0,a_partlysubmitted
173757,a_submitted a_partlysubmitted,1,a_declined
173760,a_submitted,0,a_partlysubmitted
173760,a_submitted a_partlysubmitted,1,a_preaccepted
173760,a_submitted a_partlysubmitted a_preaccepted,2,a_accepted
173760,a_submitted a_partlysubmitted a_preaccepted a_accepted,3,a_finalized
173760,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized,4,a_approved
173760,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized a_approved,5,a_activated
173760,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized a_approved a_activated,6,a_registered
173763,a_submitted,0,a_partlysubmitted
173763,a_submitted a_partlysubmitted,1,a_declined
173766,a_submitted,0,a_partlysubmitted
173766,a_submitted a_partlysubmitted,1,a_preaccepted
173766,a_submitted a_partlysubmitted a_preaccepted,2,a_cancelled
173769,a_submitted,0,a_partlysubmitted
173769,a_submitted a_partlysubmitted,1,a_declined
173772,a_submitted,0,a_partlysubmitted
173772,a_submitted a_partlysubmitted,1,a_declined
173775,a_submitted,0,a_partlysubmitted
173775,a_submitted a_partlysubmitted,1,a_preaccepted
173775,a_submitted a_partlysubmitted a_preaccepted,2,a_declined
173778,a_submitted,0,a_partlysubmitted
173778,a_submitted a_partlysubmitted,1,a_declined
173781,a_submitted,0,a_partlysubmitted
173781,a_submitted a_partlysubmitted,1,a_preaccepted
173781,a_submitted a_partlysubmitted a_preaccepted,2,a_declined
173784,a_submitted,0,a_partlysubmitted
173784,a_submitted a_partlysubmitted,1,a_preaccepted
173784,a_submitted a_partlysubmitted a_preaccepted,2,a_accepted
173784,a_submitted a_partlysubmitted a_preaccepted a_accepted,3,a_finalized
173784,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized,4,a_approved
173784,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized a_approved,5,a_activated
173784,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized a_approved a_activated,6,a_registered
173787,a_submitted,0,a_partlysubmitted
173787,a_submitted a_partlysubmitted,1,a_preaccepted
173787,a_submitted a_partlysubmitted a_preaccepted,2,a_accepted
173787,a_submitted a_partlysubmitted a_preaccepted a_accepted,3,a_finalized
173787,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized,4,a_cancelled
173790,a_submitted,0,a_partlysubmitted
173790,a_submitted a_partlysubmitted,1,a_preaccepted
173790,a_submitted a_partlysubmitted a_preaccepted,2,a_accepted
