case_id,prefix,k,next_act
173688,o_selected,0,o_created
173688,o_selected o_created,1,o_sent
173688,o_selected o_created o_sent,2,o_sent_back
173688,o_selected o_created o_sent o_sent_back,3,o_accepted
173691,o_selected,0,o_created
173691,o_selected o_created,1,o_sent
173691,o_selected o_created o_sent,2,o_selected
173691,o_selected o_created o_sent o_selected,3,o_cancelled
173691,o_selected o_created o_sent o_selected o_cancelled,4,o_created
173691,o_selected o_created o_sent o_selected o_cancelled o_created,5,o_sent
173691,o_selected o_created o_sent o_selected o_cancelled o_created o_sent,6,o_sent_back
173691,o_selected o_created o_sent o_selected o_cancelled o_created o_sent o_sent_back,7,o_accepted
173694,o_selected,0,o_created
173694,o_selected o_created,1,o_sent
173694,o_selected o_created o_sent,2,o_selected
173694,o_selected o_created o_sent o_selected,3,o_cancelled
173694,o_selected o_created o_sent o_selected o_cancelled,4,o_created
173694,o_selected o_created o_sent o_selected o_cancelled o_created,5,o_sent
173694,o_selected o_created o_sent o_selected o_cancelled o_created o_sent,6,o_selected
173694,o_selected o_created o_sent o_selected o_cancelled o_created o_sent o_selected,7,o_cancelled
173694,o_selected o_created o_sent o_selected o_cancelled o_created o_sent o_selected o_cancelled,8,o_created
173694,o_selected o_created o_sent o_selected o_cancelled o_created o_sent o_selected o_cancelled o_created,9,o_sent
173694,o_selected o_created o_sent o_selected o_cancelled o_created o_sent o_selected o_cancelled o_created o_sent,10,o_sent_back
173694,o_selected o_created o_sent o_selected o_cancelled o_created o_sent o_selected o_cancelled o_created o_sent o_sent_back,11,o_accepted
173715,o_selected,0,o_created
173715,o_selected o_created,1,o_sent
173715,o_selected o_created o_sent,2,o_sent_back
173715,o_selected o_created o_sent o_sent_back,3,o_declined
173718,o_selected,0,o_created
173718,o_selected o_created,1,o_sent
173718,o_selected o_created o_sent,2,o_selected
173718,o_selected o_created o_sent o_selected,3,o_cancelled
173718,o_selected o_created o_sent o_selected o_cancelled,4,o_created
173718,o_selected o_created o_sent o_selected o_cancelled o_created,5,o_sent
173718,o_selected o_created o_sent o_selected o_cancelled o_created o_sent,6,o_sent_back
173718,o_selected o_created o_sent o_selected o_cancelled o_created o_sent o_sent_back,7,o_accepted
173721,o_selected,0,o_created
173721,o_selected o_created,1,o_sent
173721,o_selected o_created o_sent,2,o_sent_back
173721,o_selected o_created o_sent o_sent_back,3,o_declined
173730,o_selected,0,o_created
173730,o_selected o_created,1,o_sent
173730,o_selected o_created o_sent,2,o_sent_back
173730,o_selected o_created o_sent o_sent_back,3,o_accepted
173736,o_selected,0,o_created
