Case ID,n_A,n_O,n_W,has_A,has_O,has_W
173688,8,5,5,1,1,1
173691,8,9,9,1,1,1
173694,8,13,16,1,1,1
173697,3,0,0,1,0,0
173700,3,0,0,1,0,0
173703,4,0,2,1,0,1
173706,4,0,4,1,0,1
173709,4,0,4,1,0,1
173712,4,0,4,1,0,1
173715,6,5,5,1,1,1
173718,8,9,26,1,1,1
173721,6,5,10,1,1,1
173724,4,0,7,1,0,1
173727,3,0,0,1,0,0
173730,8,5,27,1,1,1
173733,3,0,1,1,0,1
173736,8,14,13,1,1,1
173739,8,5,15,1,1,1
173742,4,0,17,1,0,1
173745,6,4,3,1,1,1
173748,6,8,10,1,1,1
173751,8,5,4,1,1,1
173754,4,0,18,1,0,1
173757,3,0,0,1,0,0
173760,8,5,5,1,1,1
173763,3,0,1,1,0,1
173766,4,0,12,1,0,1
173769,3,0,0,1,0,0
173772,3,0,0,1,0,0
173775,4,0,2,1,0,1
173778,3,0,1,1,0,1
173781,4,0,1,1,0,1
173784,8,5,43,1,1,1
173787,6,8,9,1,1,1
173790,8,5,6,1,1,1
173793,8,5,9,1,1,1
173796,6,4,4,1,1,1
173799,4,0,4,1,0,1
173802,3,0,1,1,0,1
173805,6,4,15,1,1,1
173808,3,0,0,1,0,0
173811,6,4,18,1,1,1
173814,4,0,2,1,0,1
173817,6,9,5,1,1,1
173820,3,0,0,1,0,0
173823,6,5,5,1,1,1
173826,4,0,7,1,0,1
173829,4,0,3,1,0,1
173832,3,0,0,1,0,0
173835,6,4,9,1,1,1
173838,3,0,0,1,0,0
173841,4,0,3,1,0,1
173844,8,5,5,1,1,1
173847,6,5,3,1,1,1
173850,3,0,0,1,0,0
173853,3,0,0,1,0,0
173856,3,0,2,1,0,1
173859,6,4,4,1,1,1
173862,3,0,1,1,0,1
173865,3,0,0,1,0,0
173868,6,5,7,1,1,1
173871,6,5,11,1,1,1
173874,3,0,0,1,0,0
173877,3,0,0,1,0,0
173880,8,10,18,1,1,1
173883,3,0,0,1,0,0
173886,3,0,0,1,0,0
173889,3,0,1,1,0,1
173892,3,0,0,1,0,0
173895,3,0,0,1,0,0
173898,6,4,7,1,1,1
173901,3,0,1,1,0,1
173904,3,0,1,1,0,1
173907,3,0,0,1,0,0
173910,3,0,0,1,0,0
173913,8,5,6,1,1,1
173916,3,0,3,1,0,1
173919,4,0,6,1,0,1
173922,3,0,0,1,0,0
173925,4,0,3,1,0,1
173928,8,9,45,1,1,1
173931,3,0,0,1,0,0
173934,3,0,1,1,0,1
173937,4,0,14,1,0,1
173940,8,5,14,1,1,1
173943,6,4,17,1,1,1
173946,6,4,5,1,1,1
173949,6,9,14,1,1,1
173952,3,0,0,1,0,0
173955,8,5,36,1,1,1
173958,4,0,9,1,0,1
173961,3,0,1,1,0,1
173964,4,0,2,1,0,1
173979,8,5,4,1,1,1
173982,6,4,3,1,1,1
173985,6,5,5,1,1,1
173988,6,4,4,1,1,1
173991,3,0,0,1,0,0
173994,3,0,0,1,0,0
173997,6,4,7,1,1,1
174000,6,4,14,1,1,1
174003,3,0,0,1,0,0
174006,3,0,1,1,0,1
174009,6,5,9,1,1,1
174012,6,8,12,1,1,1
174015,3,0,1,1,0,1
174018,6,4,5,1,1,1
174021,3,0,1,1,0,1
174024,4,0,4,1,0,1
174027,3,0,1,1,0,1
174030,6,4,26,1,1,1
174033,3,0,0,1,0,0
174036,8,9,19,1,1,1
174039,8,5,17,1,1,1
174042,8,5,12,1,1,1
174045,8,5,16,1,1,1
174048,4,0,1,1,0,1
174051,3,0,2,1,0,1
174054,3,0,0,1,0,0
174057,3,0,0,1,0,0
174060,8,25,42,1,1,1
174063,3,0,0,1,0,0
174066,3,0,0,1,0,0
174069,6,9,19,1,1,1
174072,3,0,1,1,0,1
174075,3,0,1,1,0,1
174078,8,5,7,1,1,1
174081,3,0,0,1,0,0
174084,8,5,12,1,1,1
174087,8,5,5,1,1,1
174090,4,0,11,1,0,1
174093,6,4,12,1,1,1
174096,8,14,16,1,1,1
174099,8,9,10,1,1,1
174102,5,0,2,1,0,1
174105,8,5,3,1,1,1
174108,3,0,0,1,0,0
174111,4,0,3,1,0,1
174114,3,0,1,1,0,1
174117,3,0,1,1,0,1
174120,4,0,8,1,0,1
174123,3,0,1,1,0,1
174126,3,0,1,1,0,1
174129,3,0,1,1,0,1
174132,8,19,40,1,1,1
174135,3,0,1,1,0,1
174138,4,0,4,1,0,1
174141,8,9,5,1,1,1
174144,8,5,6,1,1,1
174147,5,0,16,1,0,1
174150,4,0,15,1,0,1
174153,6,5,11,1,1,1
174156,3,0,0,1,0,0
174159,6,8,22,1,1,1
174162,3,0,1,1,0,1
174165,3,0,0,1,0,0
174168,6,5,12,1,1,1
174171,3,0,0,1,0,0
174174,3,0,0,1,0,0
174177,4,0,12,1,0,1
174180,6,8,6,1,1,1
174183,3,0,0,1,0,0
174186,4,0,2,1,0,1
174189,3,0,0,1,0,0
174192,3,0,0,1,0,0
174195,4,0,2,1,0,1
174198,4,0,5,1,0,1
174201,4,0,5,1,0,1
174204,3,0,1,1,0,1
174207,4,0,6,1,0,1
174210,3,0,0,1,0,0
174213,4,0,7,1,0,1
174216,8,9,12,1,1,1
174219,4,0,3,1,0,1
174222,3,0,0,1,0,0
174225,3,0,0,1,0,0
174228,3,0,1,1,0,1
174231,6,4,3,1,1,1
174234,3,0,1,1,0,1
174237,6,5,18,1,1,1
174240,4,0,2,1,0,1
174243,4,0,2,1,0,1
174246,3,0,1,1,0,1
174249,4,0,15,1,0,1
174252,8,5,12,1,1,1
174255,8,5,7,1,1,1
174258,4,0,2,1,0,1
174261,6,5,13,1,1,1
174264,8,9,24,1,1,1
174267,3,0,0,1,0,0
174270,6,4,28,1,1,1
174273,3,0,1,1,0,1
174276,3,0,0,1,0,0
174279,6,4,2,1,1,1
174282,3,0,1,1,0,1
174285,8,5,8,1,1,1
174288,5,0,1,1,0,1
174291,6,4,12,1,1,1
174294,6,8,18,1,1,1
174297,4,0,3,1,0,1
174300,3,0,1,1,0,1
174303,4,0,3,1,0,1
174319,8,5,11,1,1,1
174322,6,4,12,1,1,1
174325,8,5,14,1,1,1
174328,3,0,0,1,0,0
174331,4,0,2,1,0,1
174334,8,5,7,1,1,1
174337,8,10,21,1,1,1
174340,3,0,0,1,0,0
174343,8,5,16,1,1,1
174346,3,0,1,1,0,1
174349,6,8,9,1,1,1
174352,3,0,1,1,0,1
174355,3,0,1,1,0,1
174358,6,10,24,1,1,1
174361,4,0,9,1,0,1
174364,3,0,1,1,0,1
174367,6,8,5,1,1,1
174370,3,0,0,1,0,0
174373,3,0,0,1,0,0
174376,3,0,8,1,0,1
174379,6,4,6,1,1,1
174382,8,13,16,1,1,1
174385,8,5,4,1,1,1
174388,6,5,6,1,1,1
174391,3,0,0,1,0,0
174394,6,5,3,1,1,1
174397,6,5,36,1,1,1
174400,4,0,2,1,0,1
174403,6,5,12,1,1,1
174406,6,4,17,1,1,1
174409,8,9,14,1,1,1
174412,3,0,0,1,0,0
174415,8,5,4,1,1,1
174418,6,5,21,1,1,1
174421,4,0,8,1,0,1
174424,8,5,10,1,1,1
174427,3,0,0,1,0,0
174430,8,5,4,1,1,1
174433,4,0,4,1,0,1
174436,6,13,17,1,1,1
174439,3,0,0,1,0,0
174442,3,0,2,1,0,1
174445,4,0,4,1,0,1
174448,8,5,8,1,1,1
174451,4,0,3,1,0,1
