Case ID,Activity,Complete Timestamp,role
1,Register,2024-01-03 03:39:00,Agent L1
1,Classify,2024-01-03 03:59:24,Agent L1
1,Analyze,2024-01-03 10:02:39,Agent L2
1,Analyze,2024-01-03 14:16:58,Agent L2
1,Resolve,2024-01-03 22:50:58,Agent L2
1,Close,2024-01-03 22:55:44,Agent L1
2,Register,2024-01-02 02:59:00,Agent L1
2,Classify,2024-01-02 03:19:11,Agent L1
2,Analyze,2024-01-02 11:40:28,Agent L2
2,Analyze,2024-01-02 19:21:14,Agent L2
2,Resolve,2024-01-03 12:40:48,Agent L2
2,Close,2024-01-03 12:47:41,Agent L1
3,Register,2024-01-03 02:13:00,Agent L1
3,Classify,2024-01-03 02:28:31,Agent L1
3,Analyze,2024-01-03 10:55:50,Agent L2
3,Resolve,2024-01-03 17:27:56,Agent L2
3,Close,2024-01-03 17:31:27,Agent L1
4,Register,2024-01-03 05:45:00,Agent L1
4,Classify,2024-01-03 06:03:22,Agent L1
4,Analyze,2024-01-03 10:15:51,Agent L2
4,Resolve,2024-01-03 19:22:58,Agent L2
4,Close,2024-01-03 19:27:20,Agent L1
5,Register,2024-01-01 22:24:00,Agent L1
5,Classify,2024-01-01 22:43:29,Agent L1
5,Analyze,2024-01-02 04:23:45,Agent L2
5,Resolve,2024-01-02 10:10:53,Agent L2
5,Close,2024-01-02 10:16:58,Agent L1
6,Register,2024-01-02 13:14:00,Agent L1
6,Classify,2024-01-02 13:29:53,Agent L1
6,Resolve,2024-01-02 21:02:16,Agent L2
6,Analyze,2024-01-03 00:12:50,Agent L2
6,Resolve,2024-01-03 07:19:36,Agent L2
6,Close,2024-01-03 07:26:59,Agent L1
7,Register,2024-01-02 02:12:00,Agent L1
7,Classify,2024-01-02 02:27:03,Agent L1
7,Analyze,2024-01-02 10:06:21,Agent L2
7,Escalate,2024-01-02 12:19:01,Supervisor
7,Analyze,2024-01-02 16:40:18,Agent L2
7,Escalate,2024-01-02 19:12:58,Supervisor
7,Analyze,2024-01-02 23:16:14,Agent L2
7,Close,2024-01-02 23:23:40,Agent L1
8,Register,2024-01-02 00:26:00,Agent L1
8,Classify,2024-01-02 00:42:56,Agent L1
8,Escalate,2024-01-02 02:24:07,Supervisor
8,Analyze,2024-01-02 08:18:46,Agent L2
8,Resolve,2024-01-02 15:21:45,Agent L2
8,Close,2024-01-02 15:28:31,Agent L1
9,Register,2024-01-02 05:16:00,Agent L1
9,Classify,2024-01-02 05:35:53,Agent L1
9,Wait,2024-01-03 01:58:16,Queue
9,Analyze,2024-01-03 07:57:09,Agent L2
9,Resolve,2024-01-03 12:47:55,Agent L2
9,Close,2024-01-03 12:51:42,Agent L1
10,Register,2024-01-02 20:48:00,Agent L1
10,Classify,2024-01-02 21:18:03,Agent L1
10,Analyze,2024-01-03 10:16:03,Agent L2
10,Escalate,2024-01-03 11:13:36,Supervisor
10,Analyze,2024-01-03 16:32:45,Agent L2
10,Resolve,2024-01-03 23:22:48,Agent L2
10,Close,2024-01-03 23:26:58,Agent L1
11,Register,2024-01-02 14:37:00,Agent L1
11,Classify,2024-01-02 14:49:18,Agent L1
11,Wait,2024-01-03 18:53:45,Queue
11,Analyze,2024-01-03 23:20:27,Agent L2
11,Wait,2024-01-04 05:45:07,Queue
11,Resolve,2024-01-04 10:34:27,Agent L2
11,Close,2024-01-04 10:45:02,Agent L1
12,Register,2024-01-02 17:13:00,Agent L1
12,Classify,2024-01-02 17:31:48,Agent L1
12,Analyze,2024-01-02 20:40:32,Agent L2
12,Wait,2024-01-04 02:48:43,Queue
12,Close,2024-01-04 02:52:15,Agent L1
13,Register,2024-01-03 00:37:00,Agent L1
13,Classify,2024-01-03 01:00:56,Agent L1
13,Wait,2024-01-04 01:33:44,Queue
13,Analyze,2024-01-04 07:33:54,Agent L2
13,Escalate,2024-01-04 09:11:53,Supervisor
13,Analyze,2024-01-04 12:23:09,Agent L2
13,Wait,2024-01-05 11:06:17,Queue
13,Wait,2024-01-06 08:41:22,Queue
13,Analyze,2024-01-06 12:49:55,Agent L2
13,Escalate,2024-01-06 14:09:06,Supervisor
13,Analyze,2024-01-06 20:07:37,Agent L2
13,Resolve,2024-01-07 06:26:29,Agent L2
13,Close,2024-01-07 06:33:15,Agent L1
14,Register,2024-01-02 03:14:00,Agent L1
14,Classify,2024-01-02 03:33:52,Agent L1
14,Analyze,2024-01-02 07:58:01,Agent L2
14,Resolve,2024-01-02 14:58:51,Agent L2
14,Analyze,2024-01-02 23:36:35,Agent L2
14,Escalate,2024-01-03 01:31:47,Supervisor
14,Analyze,2024-01-03 08:09:58,Agent L2
14,Resolve,2024-01-03 13:59:39,Agent L2
14,Close,2024-01-03 14:03:35,Agent L1
15,Register,2024-01-01 15:01:00,Agent L1
15,Classify,2024-01-01 15:23:17,Agent L1
15,Resolve,2024-01-01 21:32:52,Agent L2
15,Resolve,2024-01-02 02:52:08,Agent L2
15,Resolve,2024-01-02 09:12:40,Agent L2
15,Close,2024-01-02 09:16:53,Agent L1
16,Register,2024-01-03 07:52:00,Agent L1
16,Classify,2024-01-03 07:59:21,Agent L1
16,Analyze,2024-01-03 11:20:21,Agent L2
16,Escalate,2024-01-03 12:02:33,Supervisor
16,Close,2024-01-03 12:05:48,Agent L1
17,Register,2024-01-02 11:17:00,Agent L1
17,Classify,2024-01-02 11:39:43,Agent L1
17,Analyze,2024-01-02 19:13:30,Agent L2
17,Resolve,2024-01-03 03:26:10,Agent L2
17,Close,2024-01-03 03:31:00,Agent L1
18,Register,2024-01-03 15:03:00,Agent L1
18,Classify,2024-01-03 15:30:25,Agent L1
18,Analyze,2024-01-03 20:45:16,Agent L2
18,Resolve,2024-01-04 03:10:33,Agent L2
18,Close,2024-01-04 03:17:29,Agent L1
19,Register,2024-01-02 05:06:00,Agent L1
19,Classify,2024-01-02 05:18:24,Agent L1
19,Analyze,2024-01-02 08:43:03,Agent L2
19,Escalate,2024-01-02 10:23:58,Supervisor
19,Wait,2024-01-02 23:58:52,Queue
19,Analyze,2024-01-03 02:39:40,Agent L2
19,Resolve,2024-01-03 08:48:19,Agent L2
19,Close,2024-01-03 08:53:55,Agent L1
20,Register,2024-01-03 14:20:00,Agent L1
20,Classify,2024-01-03 14:39:19,Agent L1
20,Analyze,2024-01-03 20:46:48,Agent L2
20,Resolve,2024-01-04 02:40:36,Agent L2
20,Close,2024-01-04 02:48:36,Agent L1
21,Register,2024-01-03 02:59:00,Agent L1
21,Classify,2024-01-03 03:19:48,Agent L1
21,Analyze,2024-01-03 06:22:00,Agent L2
21,Resolve,2024-01-03 15:43:03,Agent L2
21,Close,2024-01-03 15:50:16,Agent L1
22,Register,2024-01-02 22:03:00,Agent L1
22,Classify,2024-01-02 22:27:23,Agent L1
22,Escalate,2024-01-03 02:34:48,Supervisor
22,Resolve,2024-01-03 12:11:43,Agent L2
22,Close,2024-01-03 12:21:26,Agent L1
23,Register,2024-01-01 18:51:00,Agent L1
23,Classify,2024-01-01 19:07:45,Agent L1
23,Analyze,2024-01-02 03:01:32,Agent L2
23,Wait,2024-01-03 03:45:25,Queue
23,Analyze,2024-01-03 08:35:20,Agent L2
23,Escalate,2024-01-03 10:02:58,Supervisor
23,Analyze,2024-01-03 18:16:21,Agent L2
23,Analyze,2024-01-03 23:21:33,Agent L2
23,Wait,2024-01-04 13:36:33,Queue
23,Close,2024-01-04 13:43:16,Agent L1
24,Register,2024-01-03 18:29:00,Agent L1
24,Classify,2024-01-03 18:47:30,Agent L1
24,Wait,2024-01-04 11:13:08,Queue
24,Resolve,2024-01-04 22:59:42,Agent L2
24,Close,2024-01-04 23:05:00,Agent L1
25,Register,2024-01-02 17:09:00,Agent L1
25,Classify,2024-01-02 17:21:50,Agent L1
25,Analyze,2024-01-02 21:22:28,Agent L2
25,Escalate,2024-01-02 22:54:02,Supervisor
25,Analyze,2024-01-03 04:48:23,Agent L2
25,Resolve,2024-01-03 09:43:21,Agent L2
25,Wait,2024-01-04 04:40:48,Queue
25,Analyze,2024-01-04 11:52:30,Agent L2
25,Resolve,2024-01-04 21:44:56,Agent L2
25,Wait,2024-01-06 11:11:09,Queue
25,Resolve,2024-01-06 17:02:02,Agent L2
25,Close,2024-01-06 17:07:46,Agent L1
