case_id,prefix,k,next_act
1,register,0,classify
1,register classify,1,analyze
1,register classify analyze,2,analyze
1,register classify analyze analyze,3,resolve
1,register classify analyze analyze resolve,4,close
2,register,0,classify
2,register classify,1,analyze
2,register classify analyze,2,analyze
2,register classify analyze analyze,3,resolve
2,register classify analyze analyze resolve,4,close
3,register,0,classify
3,register classify,1,analyze
3,register classify analyze,2,resolve
3,register classify analyze resolve,3,close
4,register,0,classify
4,register classify,1,analyze
4,register classify analyze,2,resolve
4,register classify analyze resolve,3,close
5,register,0,classify
5,register classify,1,analyze
5,register classify analyze,2,resolve
5,register classify analyze resolve,3,close
6,register,0,classify
6,register classify,1,resolve
6,register classify resolve,2,analyze
6,register classify resolve analyze,3,resolve
6,register classify resolve analyze resolve,4,close
7,register,0,classify
7,register classify,1,analyze
7,register classify analyze,2,escalate
7,register classify analyze escalate,3,analyze
7,register classify analyze escalate analyze,4,escalate
7,register classify analyze escalate analyze escalate,5,analyze
7,register classify analyze escalate analyze escalate analyze,6,close
8,register,0,classify
8,register classify,1,escalate
8,register classify escalate,2,analyze
8,register classify escalate analyze,3,resolve
8,register classify escalate analyze resolve,4,close
9,register,0,classify
9,register classify,1,wait
9,register classify wait,2,analyze
9,register classify wait analyze,3,resolve
9,register classify wait analyze resolve,4,close
10,register,0,classify
10,register classify,1,analyze
10,register classify analyze,2,escalate
10,register classify analyze escalate,3,analyze
10,register classify analyze escalate analyze,4,resolve
10,register classify analyze escalate analyze resolve,5,close
11,register,0,classify
11,register classify,1,wait
11,register classify wait,2,analyze
11,register classify wait analyze,3,wait
11,register classify wait analyze wait,4,resolve
11,register classify wait analyze wait resolve,5,close
12,register,0,classify
12,register classify,1,analyze
12,register classify analyze,2,wait
12,register classify analyze wait,3,close
13,register,0,classify
13,register classify,1,wait
13,register classify wait,2,analyze
13,register classify wait analyze,3,escalate
13,register classify wait analyze escalate,4,analyze
13,register classify wait analyze escalate analyze,5,wait
13,register classify wait analyze escalate analyze wait,6,wait
13,register classify wait analyze escalate analyze wait wait,7,analyze
13,register classify wait analyze escalate analyze wait wait analyze,8,escalate
13,register classify wait analyze escalate analyze wait wait analyze escalate,9,analyze
13,register classify wait analyze escalate analyze wait wait analyze escalate analyze,10,resolve
13,register classify wait analyze escalate analyze wait wait analyze escalate analyze resolve,11,close
14,register,0,classify
14,register classify,1,analyze
14,register classify analyze,2,resolve
14,register classify analyze resolve,3,analyze
14,register classify analyze resolve analyze,4,escalate
14,register classify analyze resolve analyze escalate,5,analyze
14,register classify analyze resolve analyze escalate analyze,6,resolve
14,register classify analyze resolve analyze escalate analyze resolve,7,close
15,register,0,classify
15,register classify,1,resolve
15,register classify resolve,2,resolve
15,register classify resolve resolve,3,resolve
15,register classify resolve resolve resolve,4,close
16,register,0,classify
16,register classify,1,analyze
16,register classify analyze,2,escalate
16,register classify analyze escalate,3,close
17,register,0,classify
17,register classify,1,analyze
17,register classify analyze,2,resolve
17,register classify analyze resolve,3,close
18,register,0,classify
18,register classify,1,analyze
18,register classify analyze,2,resolve
18,register classify analyze resolve,3,close
19,register,0,classify
19,register classify,1,analyze
19,register classify analyze,2,escalate
19,register classify analyze escalate,3,wait
19,register classify analyze escalate wait,4,analyze
19,register classify analyze escalate wait analyze,5,resolve
19,register classify analyze escalate wait analyze resolve,6,close
20,register,0,classify
20,register classify,1,analyze
20,register classify analyze,2,resolve
20,register classify analyze resolve,3,close
