Case ID,Activity,Complete Timestamp
1,Register,2020-01-01 08:00:00
1,Analyze,2020-01-01 09:00:00
1,Resolve,2020-01-01 10:00:00
1,Close,2020-01-01 11:00:00
2,Register,2020-01-01 08:00:00
2,Analyze,2020-01-01 09:00:00
2,Resolve,2020-01-01 10:00:00
2,Close,2020-01-01 11:00:00
3,Register,2020-01-01 08:00:00
3,Analyze,2020-01-01 09:00:00
3,Resolve,2020-01-01 10:00:00
3,Close,2020-01-01 11:00:00
3,Register,2020-01-01 12:00:00
4,Register,2020-01-01 08:00:00
4,Analyze,2020-01-01 09:00:00
4,Resolve,2020-01-01 10:00:00
4,Close,2020-01-01 11:00:00
4,Register,2020-01-01 12:00:00
5,Register,2020-01-01 08:00:00
5,Analyze,2020-01-01 09:00:00
5,Resolve,2020-01-01 10:00:00
5,Close,2020-01-01 11:00:00
5,Register,2020-01-01 12:00:00
