k,accuracy,fscore,precision,recall
0,0.9990029910269193,0.998837071743664,0.9990039860458544,0.9990029910269193
1,1.0,1.0,1.0,1.0
2,0.5627198124267292,0.4054437178744166,0.3171029738133056,0.5627198124267292
3,0.7619047619047619,0.7066499764936363,0.6941495542626868,0.7619047619047619
4,1.0,1.0,1.0,1.0
5,0.9962546816479401,0.9962546816479401,0.9962546816479401,0.9962546816479401
6,0.7272727272727273,0.6181818181818182,0.5454545454545454,0.7272727272727273
7,0.6369047619047619,0.5936477499277115,0.6727540265547292,0.6369047619047619
8,0.9885057471264368,0.9884840734880831,0.9890282131661442,0.9885057471264368
9,1.0,1.0,1.0,1.0
10,0.8,0.725,0.6799999999999999,0.8
11,0.7962962962962963,0.7400705467372135,0.718776916451335,0.7962962962962963
12,1.0,1.0,1.0,1.0
13,1.0,1.0,1.0,1.0
14,0.5833333333333334,0.4696969696969697,0.4270833333333333,0.5833333333333334
15,0.5,0.4638888888888889,0.5571428571428572,0.5
16,1.0,1.0,1.0,1.0
17,1.0,1.0,1.0,1.0
18,0.8571428571428571,0.7999999999999999,0.7619047619047619,0.8571428571428571
19,0.5,0.5555555555555555,0.6666666666666666,0.5
20,1.0,1.0,1.0,1.0
21,1.0,1.0,1.0,1.0
22,1.0,1.0,1.0,1.0
23,0.0,0.0,0.0,0.0
24,1.0,1.0,1.0,1.0
29,1.0,0.802468442009436,0.8010129006577664,0.8283735188033106
