k,accuracy,fscore,precision,recall
0,0.701948051948052,0.5791697316550937,0.49314735689981276,0.701948051948052
1,0.7335285505124451,0.6909901895573631,0.7208802604185395,0.7335285505124451
2,0.758761206193969,0.721197863037458,0.7148083759269159,0.758761206193969
3,0.7808727948003714,0.7587323082722603,0.7670297570182065,0.7808727948003714
4,0.7851063829787234,0.7651313474255167,0.7655588022583053,0.7851063829787234
5,0.7717791411042945,0.7575022475980161,0.7613023191705097,0.7717791411042945
6,0.7962962962962963,0.779771757446859,0.7779792778956188,0.7962962962962963
7,0.7611940298507462,0.7470985453482141,0.7444197263878706,0.7611940298507462
8,0.8316633266533067,0.8266998215951733,0.8255288514056901,0.8316633266533067
9,0.8260869565217391,0.8213544090017897,0.8192189794458512,0.8260869565217391
10,0.8166189111747851,0.8040128729816423,0.8018473636998442,0.8166189111747851
11,0.8203389830508474,0.8148888247873517,0.811981226320849,0.8203389830508474
12,0.8395061728395061,0.8339472063615406,0.8310225766979472,0.8395061728395061
13,0.8232323232323232,0.8171235578312039,0.8138722780266897,0.8232323232323232
14,0.8128654970760234,0.8073809180705713,0.8045118906748788,0.8128654970760234
15,0.8405797101449275,0.8321562612047804,0.8317977217997001,0.8405797101449275
16,0.717741935483871,0.7002560163850486,0.702258064516129,0.717741935483871
17,0.8285714285714286,0.8327074829931972,0.8397201260589239,0.8285714285714286
18,0.8117647058823529,0.803361344537815,0.799710228919154,0.8117647058823529
19,0.8333333333333334,0.8310257297796239,0.8290780918986047,0.8333333333333334
20,0.8787878787878788,0.8732629323538414,0.8720634920634921,0.8787878787878788
21,0.8461538461538461,0.8330046022353715,0.8354328598231037,0.8461538461538461
22,0.7560975609756098,0.7225609756097561,0.7330376940133038,0.7560975609756098
23,0.7567567567567568,0.7407376981845066,0.7593555093555093,0.7567567567567568
24,0.5862068965517241,0.5732758620689655,0.6152450090744102,0.5862068965517241
25,0.6818181818181818,0.6959595959595959,0.7348484848484849,0.6818181818181818
26,0.8888888888888888,0.912962962962963,0.9629629629629629,0.8888888888888888
27,0.625,0.53125,0.7749999999999999,0.625
28,0.6666666666666666,0.6761904761904761,0.7222222222222223,0.6666666666666666
29,0.6666666666666666,0.6666666666666666,0.6833333333333333,0.6666666666666666
30,0.75,0.7916666666666667,0.9166666666666666,0.75
31,0.8333333333333334,0.8148148148148148,0.8666666666666667,0.8333333333333334
32,0.6,0.6,0.6,0.6
33,0.8,0.888888888888889,1.0,0.8
34,1.0,1.0,1.0,1.0
35,1.0,1.0,1.0,1.0
36,1.0,1.0,1.0,1.0
37,0.5,0.3333333333333333,0.25,0.5
38,0.0,0.0,0.0,0.0
39,1.0,1.0,1.0,1.0
40,1.0,1.0,1.0,1.0
41,1.0,1.0,1.0,1.0
42,1.0,1.0,1.0,1.0
73,1.0,0.771606602600148,0.7856397250341906,0.7843759631220674
