k,accuracy,fscore,precision,recall
0,0.8395196506550219,0.7933518945872087,0.8258322351289064,0.8395196506550219
1,0.7248908296943232,0.6323531111428219,0.5655226231021796,0.7248908296943232
2,0.8265895953757225,0.775586101354279,0.8042161627242426,0.8265895953757225
3,0.8179271708683473,0.7585339412864736,0.7467429719979595,0.8179271708683473
4,0.7659574468085106,0.7080554009323667,0.7128893346387436,0.7659574468085106
5,0.855072463768116,0.8071063787833974,0.794484336778979,0.855072463768116
6,0.7575757575757576,0.6718975468975469,0.6198347107438016,0.7575757575757576
7,0.6923076923076923,0.6468531468531469,0.7142857142857142,0.6923076923076923
8,0.7142857142857143,0.6904761904761905,0.761904761904762,0.7142857142857143
9,1.0,1.0,1.0,1.0
10,1.0,1.0,1.0,1.0
11,1.0,1.0,1.0,1.0
14,1.0,0.7903511426927858,0.7954760709421075,0.8328438601116005
